Country Name,Country Code,Year,GDP Growth
Indonesia,IDN,2005,5.69257130261316
Russian Federation,RUS,2005,6.39996544799469
United States,USA,2005,3.483549937943
China,CHN,2006,12.7209556654032
Indonesia,IDN,2006,5.50095178537065
Russian Federation,RUS,2006,8.20006825456321
United States,USA,2006,2.78453963938148
China,CHN,2007,14.2308609331955
Indonesia,IDN,2007,6.34502222761846
Russian Federation,RUS,2007,8.49997776916511
United States,USA,2007,2.00385829825838
China,CHN,2008,9.65067891939361
Indonesia,IDN,2008,6.01370359922831
Russian Federation,RUS,2008,5.19996926404957
United States,USA,2008,0.113587248258867
China,CHN,2009,9.39872563259674
Indonesia,IDN,2009,4.62887118346032
Russian Federation,RUS,2009,-7.79999391271275
United States,USA,2009,-2.57650023426996
China,CHN,2010,10.6358710644913
Indonesia,IDN,2010,6.2238541798264
Russian Federation,RUS,2010,4.49999999920672
United States,USA,2010,2.6951925838264
China,CHN,2011,9.55083217877568
Indonesia,IDN,2011,6.16978420771008
Russian Federation,RUS,2011,4.30002918567749
United States,USA,2011,1.56440685438301
China,CHN,2012,7.86373644862111
Indonesia,IDN,2012,6.03005065305615
Russian Federation,RUS,2012,4.02408615746921
United States,USA,2012,2.28911338767897
China,CHN,2013,7.76615009773009
Indonesia,IDN,2013,5.5572636889101
Russian Federation,RUS,2013,1.75542214874298
United States,USA,2013,2.11783009919846
China,CHN,2014,7.42576365632412
Indonesia,IDN,2014,5.006668425755
Russian Federation,RUS,2014,0.736267221765672
United States,USA,2014,2.52381981441982
China,CHN,2015,7.04132887873656
Indonesia,IDN,2015,4.87632230022123
Russian Federation,RUS,2015,-1.97271922580408
United States,USA,2015,2.94555045455233
China,CHN,2016,6.84876220495761
Indonesia,IDN,2016,5.03306918280177
Russian Federation,RUS,2016,0.193690071260534
United States,USA,2016,1.81945147474293
China,CHN,2017,6.94720079331685
Indonesia,IDN,2017,5.06978590134916
Russian Federation,RUS,2017,1.82579006401834
United States,USA,2017,2.45762230356996
China,CHN,2018,6.7497738324959
Indonesia,IDN,2018,5.17429153955024
Russian Federation,RUS,2018,2.80724541059601
United States,USA,2018,2.96650507100425
China,CHN,2019,5.95050075367413
Indonesia,IDN,2019,5.01928768046282
Russian Federation,RUS,2019,2.19807571335009
United States,USA,2019,2.46703756313913
China,CHN,2020,2.23863835634639
Indonesia,IDN,2020,-2.06551182934165
Russian Federation,RUS,2020,-2.65365450102773
United States,USA,2020,-2.21346933290643
China,CHN,2021,8.44846941687277
Indonesia,IDN,2021,3.70288562827751
Russian Federation,RUS,2021,5.61429037578345
United States,USA,2021,5.8002061284573
China,CHN,2022,2.98908408613474
Indonesia,IDN,2022,5.30741934775764
Russian Federation,RUS,2022,-2.06971152527731
United States,USA,2022,1.93549589483209
China,CHN,2023,5.19999999987174
Indonesia,IDN,2023,5.04810577067288
Russian Federation,RUS,2023,3.60000000000001
United States,USA,2023,2.54270029878489
